SLC,SLC17A4,SLC16A4,SLC28A1,SLC15A4,SLC6A3,SLC22A11,SLC22A2,SLC34A1,SLC12A5,SLC10A4,SV2C,SLC30A3,SLC32A1,SLCO1A2,SFXN5,SLC30A6,SLC30A7,SLC25A43,NIPA2,SLC25A24,FLVCR1
SLC17A4,1.0,0.2653526651076283,0.6493172772528213,0.33732834269437684,0.3265034434581649,0.6857725412499651,0.5691691709500672,0.4975316538999368,-0.17318047338279588,-0.3072551923492979,-0.0785718281727907,-0.19702069270934824,-0.18510784548287845,-0.06247964064550656,-0.03132571409878152,-0.0321825236742626,0.23785868665069615,0.2263859781749104,-0.11131660155815924,-0.054292847685904186,-0.008787299541634564
SLC16A4,0.2653526651076283,1.0,0.41513124210141134,0.5197204723091313,0.3495363271267598,0.4326683374601237,0.5300252353339016,0.2714972186308329,-0.005501429691091473,-0.040843265106715085,-0.07024680187437546,-0.027947665313237804,0.014302652254838,-0.12123464599272415,-0.057432554676058685,0.00981611998407234,0.21379333706486245,0.08539079624984533,-0.06302684231115616,0.14894320965655558,-0.2173848872628849
SLC28A1,0.6493172772528213,0.41513124210141134,1.0,0.4982523346772137,0.3946341451022805,0.7174279731131038,0.7283376967703988,0.6100383618233594,0.02376695840344674,-0.2151484273078386,-0.1266195853363903,-0.12419624725595305,-0.044357779477750936,-0.01427911136359684,0.1171871798221671,-0.14367599897031028,0.07702994745778034,0.1246152250788735,-0.23928378704500974,-0.18530745314870667,-0.22090817047674474
SLC15A4,0.33732834269437684,0.5197204723091313,0.4982523346772137,1.0,0.4508822312072717,0.4169122879202002,0.5436117134196415,0.3835945587224601,-0.01927305258434828,-0.11863034143187486,-0.14593651800333302,-0.018010533485404233,-0.06501111154700333,-0.08081734387004595,-0.13447959808001095,0.12317032899017295,0.2754498534093043,0.22155297965721765,0.04878000946859372,0.14145959035372446,-0.1251040503955974
SLC6A3,0.3265034434581649,0.3495363271267598,0.3946341451022805,0.4508822312072717,1.0,0.4000994957381023,0.4786189581656595,0.3110081576907865,-0.02522425561694552,-0.0432564323075788,0.021279586863870974,0.011068895996818208,-0.11152524821863348,-0.08210701794717934,-0.212903429670146,0.07823641153422456,0.19672213763657515,0.13106678068374694,-0.09451289254834824,0.09297534301247012,-0.0261341622813676
SLC22A11,0.6857725412499651,0.4326683374601237,0.7174279731131038,0.4169122879202002,0.4000994957381023,1.0,0.7419119586360856,0.5920219814376865,-0.07163364433844131,-0.2455700454713391,-0.05130898242152157,-0.12040772626541554,-0.10575818996819587,-0.04729736974550088,-0.001785894237759396,-0.10131779006725464,0.1289273632712151,0.14772820557188784,-0.17393754245421764,-0.08614100666761249,-0.1157339072306846
SLC22A2,0.5691691709500672,0.5300252353339016,0.7283376967703988,0.5436117134196415,0.4786189581656595,0.7419119586360856,1.0,0.6028443151607425,-0.0476005812594221,-0.20364662103383546,-0.05184814489627045,-0.16113402176440805,-0.08337212726585456,-0.12291418266488705,-0.0909040400237075,-0.08939534377753575,0.16692345373897385,0.12124007049537724,-0.16121450832203044,0.02500378677837426,-0.2409673883342543
SLC34A1,0.4975316538999368,0.2714972186308329,0.6100383618233594,0.3835945587224601,0.3110081576907865,0.5920219814376865,0.6028443151607425,1.0,-0.1679277770297983,-0.2645580097338298,-0.1880145013080511,-0.1030347205667596,-0.2125804151114406,-0.08868847021589417,-0.07276080831962216,-0.0050889132989152,0.16045164383044044,0.2696262800023983,-0.11003779099887284,-0.028607519308813487,-0.09549208561587602
SLC12A5,-0.17318047338279588,-0.005501429691091473,0.02376695840344674,-0.01927305258434828,-0.02522425561694552,-0.07163364433844131,-0.0476005812594221,-0.1679277770297983,1.0,0.3820853461623759,0.27068760515029106,0.3976951365439584,0.5879460795853777,0.371189550665531,0.40565738890731695,-0.20512514015215144,-0.3816581277949804,-0.3293507589129832,-0.11718910715088135,-0.3834334239767985,-0.14185882561751784
SLC10A4,-0.3072551923492979,-0.040843265106715085,-0.2151484273078386,-0.11863034143187486,-0.0432564323075788,-0.2455700454713391,-0.20364662103383546,-0.2645580097338298,0.3820853461623759,1.0,0.3354365111993532,0.3865677368783542,0.4715884244351377,0.40092909969895546,0.2910361213665001,0.03609636146447875,-0.22184841328667254,-0.19084572633481126,0.07845123311169623,-0.15182534953359553,0.055506900793525306
SV2C,-0.0785718281727907,-0.07024680187437546,-0.1266195853363903,-0.14593651800333302,0.021279586863870974,-0.05130898242152157,-0.05184814489627045,-0.1880145013080511,0.27068760515029106,0.3354365111993532,1.0,0.21194491889933284,0.3778149990728253,0.35817302690511105,0.21594338507970887,0.005383913290865981,-0.08360076092060592,-0.20790180735766736,0.05198818783275935,-0.12635444746211094,0.07806315101204737
SLC30A3,-0.19702069270934824,-0.027947665313237804,-0.12419624725595305,-0.018010533485404233,0.011068895996818208,-0.12040772626541554,-0.16113402176440805,-0.1030347205667596,0.3976951365439584,0.3865677368783542,0.21194491889933284,1.0,0.4373795559058623,0.3220536629970082,0.2482621864729353,-0.011435276920919016,-0.2492735414867585,-0.19272708243273726,-0.03941541715689618,-0.2584618052597153,-0.008248380974041927
SLC32A1,-0.18510784548287845,0.014302652254838,-0.044357779477750936,-0.06501111154700333,-0.11152524821863348,-0.10575818996819587,-0.08337212726585456,-0.2125804151114406,0.5879460795853777,0.4715884244351377,0.3778149990728253,0.4373795559058623,1.0,0.5199461557290711,0.5666872104268429,-0.2332427272934869,-0.4374231820678001,-0.3431271551899657,-0.037633607174826535,-0.4129761822903236,-0.03199853048631456
SLCO1A2,-0.06247964064550656,-0.12123464599272415,-0.01427911136359684,-0.08081734387004595,-0.08210701794717934,-0.04729736974550088,-0.12291418266488705,-0.08868847021589417,0.371189550665531,0.40092909969895546,0.35817302690511105,0.3220536629970082,0.5199461557290711,1.0,0.4341326052324112,-0.008727159380505473,-0.25603382493575555,-0.16515725834946404,0.04769902325993935,-0.4058111011024206,0.08231337516557419
SFXN5,-0.03132571409878152,-0.057432554676058685,0.1171871798221671,-0.13447959808001095,-0.212903429670146,-0.001785894237759396,-0.0909040400237075,-0.07276080831962216,0.40565738890731695,0.2910361213665001,0.21594338507970887,0.2482621864729353,0.5666872104268429,0.4341326052324112,1.0,-0.2898889748964482,-0.3942908587975175,-0.30003363189362325,-0.1513494273735154,-0.5157829258510567,-0.04312924293008856
SLC30A6,-0.0321825236742626,0.00981611998407234,-0.14367599897031028,0.12317032899017295,0.07823641153422456,-0.10131779006725464,-0.08939534377753575,-0.0050889132989152,-0.20512514015215144,0.03609636146447875,0.005383913290865981,-0.011435276920919016,-0.2332427272934869,-0.008727159380505473,-0.2898889748964482,1.0,0.6057836854265601,0.4537259303015948,0.5615139637678204,0.5968943627545705,0.4673626301917933
SLC30A7,0.23785868665069615,0.21379333706486245,0.07702994745778034,0.2754498534093043,0.19672213763657515,0.1289273632712151,0.16692345373897385,0.16045164383044044,-0.3816581277949804,-0.22184841328667254,-0.08360076092060592,-0.2492735414867585,-0.4374231820678001,-0.25603382493575555,-0.3942908587975175,0.6057836854265601,1.0,0.4631113646621357,0.3697757775124994,0.6329464324698464,0.3163817898591895
SLC25A43,0.2263859781749104,0.08539079624984533,0.1246152250788735,0.22155297965721765,0.13106678068374694,0.14772820557188784,0.12124007049537724,0.2696262800023983,-0.3293507589129832,-0.19084572633481126,-0.20790180735766736,-0.19272708243273726,-0.3431271551899657,-0.16515725834946404,-0.30003363189362325,0.4537259303015948,0.4631113646621357,1.0,0.27117561734292617,0.4878729524913432,0.272353979426845
NIPA2,-0.11131660155815924,-0.06302684231115616,-0.23928378704500974,0.04878000946859372,-0.09451289254834824,-0.17393754245421764,-0.16121450832203044,-0.11003779099887284,-0.11718910715088135,0.07845123311169623,0.05198818783275935,-0.03941541715689618,-0.037633607174826535,0.04769902325993935,-0.1513494273735154,0.5615139637678204,0.3697757775124994,0.27117561734292617,1.0,0.4159925473971397,0.3380692198722193
SLC25A24,-0.054292847685904186,0.14894320965655558,-0.18530745314870667,0.14145959035372446,0.09297534301247012,-0.08614100666761249,0.02500378677837426,-0.028607519308813487,-0.3834334239767985,-0.15182534953359553,-0.12635444746211094,-0.2584618052597153,-0.4129761822903236,-0.4058111011024206,-0.5157829258510567,0.5968943627545705,0.6329464324698464,0.4878729524913432,0.4159925473971397,1.0,0.25177854963720664
FLVCR1,-0.008787299541634564,-0.2173848872628849,-0.22090817047674474,-0.1251040503955974,-0.0261341622813676,-0.1157339072306846,-0.2409673883342543,-0.09549208561587602,-0.14185882561751784,0.055506900793525306,0.07806315101204737,-0.008248380974041927,-0.03199853048631456,0.08231337516557419,-0.04312924293008856,0.4673626301917933,0.3163817898591895,0.272353979426845,0.3380692198722193,0.25177854963720664,1.0
